,name,header,beds,bedrooms,date_range,price,rating
1653,N204 lovely unit with great space,Apartment in Jeddah,N204 lovely unit with great space,"5 beds,  · 4 bedrooms",Nov 20 – 25,$173,4.79 (33)
1654,2 Bedroom Apartment with Self check in,Apartment in Riyadh,2 Bedroom Apartment with Self check in,"3 beds,  · 2 bedrooms",Nov 26 – Dec 1,$91,5.0 (11)
1655,Cozy Apartment,Apartment in Riyadh,Cozy Apartment,Verified fast wifi,Nov 12 – 17,,5.0 (18)
1656,Apartment room and lounge with private entrance,Apartment in Riyadh,Apartment room and lounge with private entrance,Dedicated workspace,Nov 12 – 17,,4.86 (7)
1657,"T10, 2 beds apt in Great Location شقة غرفتين جميلة",Apartment in Jeddah,"T10, 2 beds apt in Great Location شقة غرفتين جميلة","2 beds,  · 2 bedrooms",Nov 12 – 17,$60,4.68 (69)
1658,Luxury 3 Bedroom Apartment - Self Entry,Apartment in Riyadh,Luxury 3 Bedroom Apartment - Self Entry,"3 beds,  · 3 bedrooms",Nov 12 – 17,,5.0 (46)
1659,Luxury Apartment Cordoba,Apartment in Riyadh,Luxury Apartment Cordoba,"3 beds,  · 2 bedrooms",Nov 12 – 17,$146,New
1660,"Apartment in North Riyadh, self entry",Condo in Riyadh,"Apartment in North Riyadh, self entry","3 beds,  · 2 bedrooms",Nov 23 – 28,$128,4.89 (18)
1661,Two Bedroom Apartment and Self Entry Lounge3,Apartment in Riyadh,Two Bedroom Apartment and Self Entry Lounge3,"3 beds,  · 2 bedrooms",Nov 25 – 30,,5.0 (10)
1662,comfy apartment fits 9 personals,Apartment in Jeddah,comfy apartment fits 9 personals,"8 beds,  · 3 bedrooms",Nov 25 – 30,$113,New
1663,Private suite 26,Apartment in Jeddah,Private suite 26,"3 beds,  · 2 bedrooms",Nov 12 – 17,$80,New
1664,Comfortable place to spend your family vacation | comfyapartment8,Condo in Jeddah,Comfortable place to spend your family vacation | comfyapartment8,Verified fast wifi,Nov 12 – 17,$104,4.85 (34)
1665,Cordoba Apartment 2/A,Apartment in Riyadh,Cordoba Apartment 2/A,"3 beds,  · 2 bedrooms",Nov 21 – 26,$149,5.0 (15)
1666,Majdia Residence Al Majdiah Residence,Apartment in Riyadh,Majdia Residence Al Majdiah Residence,"5 beds,  · 4 bedrooms",Nov 23 – 28,$447,5.0 (33)
1667,Featured bunk villa and pool,Home in Riyadh,Featured bunk villa and pool,"4 beds,  · 2 bedrooms",Nov 25 – 30,$139,5.0 (3)
1668,Peaceful Makkah Retreat,Apartment in Makkah,Peaceful Makkah Retreat,"5 beds,  · 3 bedrooms",Nov 12 – 17,,New
1669,Spacious Apartment for a family,Apartment in Jeddah,Spacious Apartment for a family,"5 beds,  · 3 bedrooms",Nov 19 – 24,$111,5.0 (4)
1670,2 Bedroom Apartment with Self check in,Apartment in Riyadh,2 Bedroom Apartment with Self check in,"3 beds,  · 2 bedrooms",Nov 26 – Dec 1,$91,5.0 (11)
1671,Cozy Apartment,Apartment in Riyadh,Cozy Apartment,Verified fast wifi,Nov 12 – 17,,5.0 (18)
1672,Three Bedroom Apartment - Luxury Apartment 3 Smart Entry,Apartment in Riyadh,Three Bedroom Apartment - Luxury Apartment 3 Smart Entry,"3 beds,  · 3 bedrooms",Nov 12 – 17,,4.67 (6)
1673,B2-Cozy 2 bedroom apartment,Apartment in Riyadh,B2-Cozy 2 bedroom apartment,"3 beds,  · 2 bedrooms",Nov 12 – 17,$133,4.81 (16)
1674,"T10, 2 beds apt in Great Location شقة غرفتين جميلة",Apartment in Jeddah,"T10, 2 beds apt in Great Location شقة غرفتين جميلة","2 beds,  · 2 bedrooms",Nov 12 – 17,$60,4.68 (69)
1675,Luxury 3 Bedroom Apartment - Self Entry,Apartment in Riyadh,Luxury 3 Bedroom Apartment - Self Entry,"3 beds,  · 3 bedrooms",Nov 12 – 17,,5.0 (46)
